KCLOTPMUC111220180600,OTP,Bucharest,MUC,Munich,111220180600
KCLMUCEDI241220181200,MUC,Munich,EDI,Edimburgh,241220181200
KCLLGWOTP010120190200,LGW,London,OTP,Bucharest,010120190200
KCLMADLGW251220180100,MAD,Madrid,LGW,London,251220180100
KCLMXPLGW301220180200,MXP,Milan,LGW,London,301220180200
KCLLGWCDG221220180100,LGW,London,CDG,Paris,221220180100
KCLATHMAD261220180800,ATH,Athens,MAD,Madrid,261220180800
KCLEDIMOW211220181200,EDI,Edimburgh,MOW,Moscow,211220181200
KCLEDIOTP201220181200,EDI,Edimburgh,OTP,Bucharest,201220181200
KCLCDGMAD020120190900,CDG,Paris,MAD,Madrid,020120190900
KCLMXPMOW271220180800,MXP,Milan,MOW,Moscow,271220180800
KCLMXPCDG201220180800,MXP,Milan,CDG,Paris,201220180800
KCLMXPWAW040120190600,MXP,Milan,WAW,Warsaw,040120190600
KCLMADMUC251220180300,MAD,Madrid,MUC,Munich,251220180300
KCLMADATH281220180200,MAD,Madrid,ATH,Athens,281220180200
KCLMOWMXP111220180100,MOW,Moscow,MXP,Milan,111220180100
KCLMOWMUC261220180700,MOW,Moscow,MUC,Munich,261220180700
KCLWAWEDI281220180300,WAW,Warsaw,EDI,Edimburgh,281220180300
KCLWAWMXP060120190900,WAW,Warsaw,MXP,Milan,060120190900
KCLMXPEDI291220180100,MXP,Milan,EDI,Edimburgh,291220180100
KCLOTPMOW201220180200,OTP,Bucharest,MOW,Moscow,201220180200
KCLMXPMOW311220180200,MXP,Milan,MOW,Moscow,311220180200
KCLOTPEDI010120190700,OTP,Bucharest,EDI,Edimburgh,010120190700
KCLCDGOTP171220180700,CDG,Paris,OTP,Bucharest,171220180700
KCLEDIMOW080120190400,EDI,Edimburgh,MOW,Moscow,080120190400
KCLLGWOTP030120190400,LGW,London,OTP,Bucharest,030120190400
KCLOTPLGW020120190400,OTP,Bucharest,LGW,London,020120190400
KCLLGWEDI171220180500,LGW,London,EDI,Edimburgh,171220180500
KCLWAWMUC201220180300,WAW,Warsaw,MUC,Munich,201220180300
KCLMOWCDG141220180100,MOW,Moscow,CDG,Paris,141220180100
KCLATHMXP211220180600,ATH,Athens,MXP,Milan,211220180600
KCLMOWOTP080120190200,MOW,Moscow,OTP,Bucharest,080120190200
KCLEDIATH161220180800,EDI,Edimburgh,ATH,Athens,161220180800
KCLMADLGW090120190800,MAD,Madrid,LGW,London,090120190800
KCLLGWMOW050120190700,LGW,London,MOW,Moscow,050120190700
KCLWAWLGW281220180500,WAW,Warsaw,LGW,London,281220180500
KCLLGWATH191220180100,LGW,London,ATH,Athens,191220180100
KCLEDIMUC161220180100,EDI,Edimburgh,MUC,Munich,161220180100
KCLMOWLGW121220180300,MOW,Moscow,LGW,London,121220180300
KCLOTPATH070120190700,OTP,Bucharest,ATH,Athens,070120190700
KCLLGWMXP151220180200,LGW,London,MXP,Milan,151220180200
KCLLGWMAD040120190500,LGW,London,MAD,Madrid,040120190500
KCLMXPATH060120190600,MXP,Milan,ATH,Athens,060120190600
KCLMOWOTP291220180400,MOW,Moscow,OTP,Bucharest,291220180400
KCLMOWEDI211220181200,MOW,Moscow,EDI,Edimburgh,211220181200
KCLMXPEDI050120190100,MXP,Milan,EDI,Edimburgh,050120190100
KCLWAWCDG231220180300,WAW,Warsaw,CDG,Paris,231220180300
KCLATHWAW251220180200,ATH,Athens,WAW,Warsaw,251220180200
KCLWAWMUC171220180600,WAW,Warsaw,MUC,Munich,171220180600
KCLCDGEDI131220180800,CDG,Paris,EDI,Edimburgh,131220180800
KCLWAWATH020120190200,WAW,Warsaw,ATH,Athens,020120190200
KCLOTPATH131220180400,OTP,Bucharest,ATH,Athens,131220180400
KCLMXPMOW020120190500,MXP,Milan,MOW,Moscow,020120190500
KCLEDIATH111220180700,EDI,Edimburgh,ATH,Athens,111220180700
KCLMOWCDG281220180100,MOW,Moscow,CDG,Paris,281220180100
KCLATHOTP281220180900,ATH,Athens,OTP,Bucharest,281220180900
KCLWAWEDI131220180300,WAW,Warsaw,EDI,Edimburgh,131220180300
KCLMOWATH151220181200,MOW,Moscow,ATH,Athens,151220181200
KCLEDIMUC241220180900,EDI,Edimburgh,MUC,Munich,241220180900
KCLMXPEDI070120190800,MXP,Milan,EDI,Edimburgh,070120190800
KCLEDIWAW281220180100,EDI,Edimburgh,WAW,Warsaw,281220180100
KCLMXPWAW121220181200,MXP,Milan,WAW,Warsaw,121220181200
KCLMXPOTP261220180300,MXP,Milan,OTP,Bucharest,261220180300
KCLMADMUC030120191200,MAD,Madrid,MUC,Munich,030120191200
KCLMOWWAW050120190800,MOW,Moscow,WAW,Warsaw,050120190800
KCLATHMUC030120190200,ATH,Athens,MUC,Munich,030120190200
KCLMOWCDG291220180500,MOW,Moscow,CDG,Paris,291220180500
KCLLGWOTP060120191200,LGW,London,OTP,Bucharest,060120191200
KCLLGWMAD211220180600,LGW,London,MAD,Madrid,211220180600
KCLMXPLGW101220180600,MXP,Milan,LGW,London,101220180600
KCLCDGEDI221220180500,CDG,Paris,EDI,Edimburgh,221220180500
KCLATHMXP111220180200,ATH,Athens,MXP,Milan,111220180200
KCLCDGLGW111220180700,CDG,Paris,LGW,London,111220180700
KCLLGWWAW171220180300,LGW,London,WAW,Warsaw,171220180300
KCLOTPCDG101220180800,OTP,Bucharest,CDG,Paris,101220180800
KCLMUCLGW121220180600,MUC,Munich,LGW,London,121220180600
KCLOTPMUC201220180400,OTP,Bucharest,MUC,Munich,201220180400
KCLWAWMOW121220180300,WAW,Warsaw,MOW,Moscow,121220180300
KCLWAWEDI060120190900,WAW,Warsaw,EDI,Edimburgh,060120190900
KCLLGWMUC151220180800,LGW,London,MUC,Munich,151220180800
KCLWAWMXP231220180900,WAW,Warsaw,MXP,Milan,231220180900
KCLCDGLGW291220181200,CDG,Paris,LGW,London,291220181200
KCLMOWLGW181220180200,MOW,Moscow,LGW,London,181220180200
KCLATHMUC281220180900,ATH,Athens,MUC,Munich,281220180900
KCLCDGATH261220180200,CDG,Paris,ATH,Athens,261220180200
KCLLGWOTP040120190400,LGW,London,OTP,Bucharest,040120190400
KCLATHOTP201220180300,ATH,Athens,OTP,Bucharest,201220180300
KCLMOWEDI111220180500,MOW,Moscow,EDI,Edimburgh,111220180500
KCLCDGWAW171220181200,CDG,Paris,WAW,Warsaw,171220181200
KCLATHWAW261220181200,ATH,Athens,WAW,Warsaw,261220181200
KCLCDGMAD231220180200,CDG,Paris,MAD,Madrid,231220180200
KCLMADMUC191220181200,MAD,Madrid,MUC,Munich,191220181200
KCLMUCCDG221220180300,MUC,Munich,CDG,Paris,221220180300
KCLMXPCDG181220180500,MXP,Milan,CDG,Paris,181220180500
KCLLGWEDI060120190700,LGW,London,EDI,Edimburgh,060120190700
KCLCDGMAD261220180500,CDG,Paris,MAD,Madrid,261220180500
KCLMOWWAW030120190100,MOW,Moscow,WAW,Warsaw,030120190100
KCLMUCATH191220180100,MUC,Munich,ATH,Athens,191220180100
KCLEDIWAW121220180700,EDI,Edimburgh,WAW,Warsaw,121220180700
KCLLGWMAD070120190300,LGW,London,MAD,Madrid,070120190300
KCLMOWMXP030120190400,MOW,Moscow,MXP,Milan,030120190400
KCLCDGMAD161220180700,CDG,Paris,MAD,Madrid,161220180700
KCLWAWOTP080120190600,WAW,Warsaw,OTP,Bucharest,080120190600
KCLATHEDI111220181200,ATH,Athens,EDI,Edimburgh,111220181200
KCLMXPATH121220180800,MXP,Milan,ATH,Athens,121220180800
KCLCDGMXP131220180800,CDG,Paris,MXP,Milan,131220180800
KCLMADEDI211220180700,MAD,Madrid,EDI,Edimburgh,211220180700
KCLATHLGW261220180300,ATH,Athens,LGW,London,261220180300
KCLOTPMOW301220180700,OTP,Bucharest,MOW,Moscow,301220180700
KCLLGWMOW281220180700,LGW,London,MOW,Moscow,281220180700
KCLCDGLGW020120190800,CDG,Paris,LGW,London,020120190800
KCLATHMAD191220180600,ATH,Athens,MAD,Madrid,191220180600
